R,H,I,E,S,Time
154,0,104,237,9505,7.85118
154,0,105,236,9505,7.85127
154,0,105,237,9504,7.85261
154,0,105,238,9503,7.85853
154,0,106,237,9503,7.85918
154,0,106,238,9502,7.85956
154,0,106,239,9501,7.86858
154,0,106,240,9500,7.8727
154,0,106,241,9499,7.87303
154,0,106,242,9498,7.87913
154,0,107,241,9498,7.88212
154,0,107,242,9497,7.89051
154,0,107,243,9496,7.89076
154,0,107,244,9495,7.89503
154,0,107,245,9494,7.91781
155,0,106,245,9494,7.92667
156,0,105,245,9494,7.93037
156,0,105,246,9493,7.93881
156,0,106,245,9493,7.94938
156,0,107,244,9493,7.96428
156,0,107,245,9492,7.97136
156,0,108,244,9492,8.02121
156,0,109,243,9492,8.03864
156,0,109,244,9491,8.03877
156,0,109,245,9490,8.03901
156,0,110,244,9490,8.04938
156,0,110,245,9489,8.06085
156,0,110,246,9488,8.07022
157,0,109,246,9488,8.07259
157,0,109,247,9487,8.07462
157,0,110,246,9487,8.07651
157,0,110,247,9486,8.0783
157,0,110,248,9485,8.08094
157,0,110,249,9484,8.08175
157,0,110,250,9483,8.08695
157,0,110,251,9482,8.08928
158,0,109,251,9482,8.09649
158,0,110,250,9482,8.10606
159,0,109,250,9482,8.10607
159,0,110,249,9482,8.10656
159,0,110,250,9481,8.10707
160,0,109,250,9481,8.11956
161,0,108,250,9481,8.1202
161,0,109,249,9481,8.12334
161,0,109,250,9480,8.1728
161,0,109,251,9479,8.17709
161,0,110,250,9479,8.17929
161,0,111,249,9479,8.19421
161,0,112,248,9479,8.19879
161,0,113,247,9479,8.19884
161,0,114,246,9479,8.20123
161,0,114,247,9478,8.20167
161,0,114,248,9477,8.20367
161,0,115,247,9477,8.22485
161,0,115,248,9476,8.22577
161,0,116,247,9476,8.22858
161,0,117,246,9476,8.24051
162,0,116,246,9476,8.24278
162,0,117,245,9476,8.24787
162,0,117,246,9475,8.24891
163,0,116,246,9475,8.25258
163,0,117,245,9475,8.25391
163,0,118,244,9475,8.26571
163,0,119,243,9475,8.28096
163,0,120,242,9475,8.28676
163,0,120,243,9474,8.29962
164,0,119,243,9474,8.30385
164,0,120,242,9474,8.31027
165,0,119,242,9474,8.31192
165,0,119,243,9473,8.31265
165,0,120,242,9473,8.31788
166,0,119,242,9473,8.31889
167,0,118,242,9473,8.31893
167,0,118,243,9472,8.33104
167,0,119,242,9472,8.34409
167,0,119,243,9471,8.34797
167,0,119,244,9470,8.36033
167,0,120,243,9470,8.36157
167,0,121,242,9470,8.36218
167,0,121,243,9469,8.37837
167,0,121,244,9468,8.3877
168,0,120,244,9468,8.39053
168,0,120,245,9467,8.39345
168,0,120,246,9466,8.39367
168,0,121,245,9466,8.39871
168,0,121,246,9465,8.40494
168,0,121,247,9464,8.40906
168,0,121,248,9463,8.41283
169,0,120,248,9463,8.41332
169,0,120,249,9462,8.41521
169,0,120,250,9461,8.4264
170,0,119,250,9461,8.42937
170,0,119,251,9460,8.43641
171,0,118,251,9460,8.43809
171,0,119,250,9460,8.43869
172,0,118,250,9460,8.44536
172,0,118,251,9459,8.44981
172,0,118,252,9458,8.45076
172,0,118,253,9457,8.4519
172,0,118,254,9456,8.45637
173,0,117,254,9456,8.46265
173,0,117,255,9455,8.46323
173,0,117,256,9454,8.46331
173,0,117,257,9453,8.46404
173,0,117,258,9452,8.47268
174,0,116,258,9452,8.48233
174,0,117,257,9452,8.4907
174,0,118,256,9452,8.49856
174,0,118,257,9451,8.50151
174,0,119,256,9451,8.50151
174,0,119,257,9450,8.50422
174,0,119,258,9449,8.51101
174,0,120,257,9449,8.51144
174,0,120,258,9448,8.51246
174,0,120,259,9447,8.51417
174,0,120,260,9446,8.52559
174,0,121,259,9446,8.53968
174,0,122,258,9446,8.5446
